Sector,disclosure_rate
Services,0.5909090909090908
Consumer Services,0.6818181818181819
Capital Goods,0.7272727272727273
Fast Moving Consumer Goods,0.7272727272727273
Automobile & Auto Components,0.8
Financial Services,0.8181818181818182
"Oil, Gas and Consumable fuels",0.8181818181818182
Telecommunication,0.8181818181818182
Healthcare,0.8545454545454545
Consumer durables,0.8636363636363636
Information Technology,0.8909090909090909
Metals & Mining,0.9090909090909091
Construction Materials,0.9090909090909092
Power,0.9545454545454546
